untagged_sentence,tagged_sentence
"['The', 'jury', 'further', 'said', 'in', 'term-end', 'presentments', 'that', 'the', 'City', 'Executive', 'Committee', ',', 'which', 'had', 'over-all', 'charge', 'of', 'the', 'election', ',', '``', 'deserves', 'the', 'praise', 'and', 'thanks', 'of', 'the', 'City', 'of', 'Atlanta', ""''"", 'for', 'the', 'manner', 'in', 'which', 'the', 'election', 'was', 'conducted', '.']","[('The', 'AT'), ('jury', 'NN'), ('further', 'RB'), ('said', 'VB'), ('in', 'IN'), ('term-end', 'NN'), ('presentments', 'NN'), ('that', 'CS'), ('the', 'AT'), ('City', 'NN'), ('Executive', 'JJ'), ('Committee', 'NN'), (',', ','), ('which', 'WD'), ('had', 'HV'), ('over-all', 'JJ'), ('charge', 'NN'), ('of', 'IN'), ('the', 'AT'), ('election', 'NN'), (',', ','), ('``', '``'), ('deserves', 'VB'), ('the', 'AT'), ('praise', 'NN'), ('and', 'CC'), ('thanks', 'NN'), ('of', 'IN'), ('the', 'AT'), ('City', 'NN'), ('of', 'IN'), ('Atlanta', 'NP'), (""''"", ""''""), ('for', 'IN'), ('the', 'AT'), ('manner', 'NN'), ('in', 'IN'), ('which', 'WD'), ('the', 'AT'), ('election', 'NN'), ('was', 'BE'), ('conducted', 'VB'), ('.', '.')]"
"['The', 'September-October', 'term', 'jury', 'had', 'been', 'charged', 'by', 'Fulton', 'Superior', 'Court', 'Judge', 'Durwood', 'Pye', 'to', 'investigate', 'reports', 'of', 'possible', '``', 'irregularities', ""''"", 'in', 'the', 'hard-fought', 'primary', 'which', 'was', 'won', 'by', 'Mayor-nominate', 'Ivan', 'Allen', 'Jr.', '.']","[('The', 'AT'), ('September-October', 'NP'), ('term', 'NN'), ('jury', 'NN'), ('had', 'HV'), ('been', 'BE'), ('charged', 'VB'), ('by', 'IN'), ('Fulton', 'NP'), ('Superior', 'JJ'), ('Court', 'NN'), ('Judge', 'NN'), ('Durwood', 'NP'), ('Pye', 'NP'), ('to', 'TO'), ('investigate', 'VB'), ('reports', 'NN'), ('of', 'IN'), ('possible', 'JJ'), ('``', '``'), ('irregularities', 'NN'), (""''"", ""''""), ('in', 'IN'), ('the', 'AT'), ('hard-fought', 'JJ'), ('primary', 'NN'), ('which', 'WD'), ('was', 'BE'), ('won', 'VB'), ('by', 'IN'), ('Mayor-nominate', 'NN'), ('Ivan', 'NP'), ('Allen', 'NP'), ('Jr.', 'NP'), ('.', '.')]"
"['``', 'Only', 'a', 'relative', 'handful', 'of', 'such', 'reports', 'was', 'received', ""''"", ',', 'the', 'jury', 'said', ',', '``', 'considering', 'the', 'widespread', 'interest', 'in', 'the', 'election', ',', 'the', 'number', 'of', 'voters', 'and', 'the', 'size', 'of', 'this', 'city', ""''"", '.']","[('``', '``'), ('Only', 'RB'), ('a', 'AT'), ('relative', 'JJ'), ('handful', 'NN'), ('of', 'IN'), ('such', 'JJ'), ('reports', 'NN'), ('was', 'BE'), ('received', 'VB'), (""''"", ""''""), (',', ','), ('the', 'AT'), ('jury', 'NN'), ('said', 'VB'), (',', ','), ('``', '``'), ('considering', 'IN'), ('the', 'AT'), ('widespread', 'JJ'), ('interest', 'NN'), ('in', 'IN'), ('the', 'AT'), ('election', 'NN'), (',', ','), ('the', 'AT'), ('number', 'NN'), ('of', 'IN'), ('voters', 'NN'), ('and', 'CC'), ('the', 'AT'), ('size', 'NN'), ('of', 'IN'), ('this', 'DT'), ('city', 'NN'), (""''"", ""''""), ('.', '.')]"
"['The', 'jury', 'said', 'it', 'did', 'find', 'that', 'many', 'of', ""Georgia's"", 'registration', 'and', 'election', 'laws', '``', 'are', 'outmoded', 'or', 'inadequate', 'and', 'often', 'ambiguous', ""''"", '.']","[('The', 'AT'), ('jury', 'NN'), ('said', 'VB'), ('it', 'PP'), ('did', 'DO'), ('find', 'VB'), ('that', 'CS'), ('many', 'AP'), ('of', 'IN'), (""Georgia's"", 'NP'), ('registration', 'NN'), ('and', 'CC'), ('election', 'NN'), ('laws', 'NN'), ('``', '``'), ('are', 'BE'), ('outmoded', 'JJ'), ('or', 'CC'), ('inadequate', 'JJ'), ('and', 'CC'), ('often', 'RB'), ('ambiguous', 'JJ'), (""''"", ""''""), ('.', '.')]"
"['It', 'recommended', 'that', 'Fulton', 'legislators', 'act', '``', 'to', 'have', 'these', 'laws', 'studied', 'and', 'revised', 'to', 'the', 'end', 'of', 'modernizing', 'and', 'improving', 'them', ""''"", '.']","[('It', 'PP'), ('recommended', 'VB'), ('that', 'CS'), ('Fulton', 'NP'), ('legislators', 'NN'), ('act', 'VB'), ('``', '``'), ('to', 'TO'), ('have', 'HV'), ('these', 'DT'), ('laws', 'NN'), ('studied', 'VB'), ('and', 'CC'), ('revised', 'VB'), ('to', 'IN'), ('the', 'AT'), ('end', 'NN'), ('of', 'IN'), ('modernizing', 'VB'), ('and', 'CC'), ('improving', 'VB'), ('them', 'PP'), (""''"", ""''""), ('.', '.')]"
"['The', 'grand', 'jury', 'commented', 'on', 'a', 'number', 'of', 'other', 'topics', ',', 'among', 'them', 'the', 'Atlanta', 'and', 'Fulton', 'County', 'purchasing', 'departments', 'which', 'it', 'said', '``', 'are', 'well', 'operated', 'and', 'follow', 'generally', 'accepted', 'practices', 'which', 'inure', 'to', 'the', 'best', 'interest', 'of', 'both', 'governments', ""''"", '.']","[('The', 'AT'), ('grand', 'JJ'), ('jury', 'NN'), ('commented', 'VB'), ('on', 'IN'), ('a', 'AT'), ('number', 'NN'), ('of', 'IN'), ('other', 'AP'), ('topics', 'NN'), (',', ','), ('among', 'IN'), ('them', 'PP'), ('the', 'AT'), ('Atlanta', 'NP'), ('and', 'CC'), ('Fulton', 'NP'), ('County', 'NN'), ('purchasing', 'VB'), ('departments', 'NN'), ('which', 'WD'), ('it', 'PP'), ('said', 'VB'), ('``', '``'), ('are', 'BE'), ('well', 'QL'), ('operated', 'VB'), ('and', 'CC'), ('follow', 'VB'), ('generally', 'RB'), ('accepted', 'VB'), ('practices', 'NN'), ('which', 'WD'), ('inure', 'VB'), ('to', 'IN'), ('the', 'AT'), ('best', 'JJ'), ('interest', 'NN'), ('of', 'IN'), ('both', 'AB'), ('governments', 'NN'), (""''"", ""''""), ('.', '.')]"
"['Merger', 'proposed']","[('Merger', 'NN'), ('proposed', 'VB')]"
"['However', ',', 'the', 'jury', 'said', 'it', 'believes', '``', 'these', 'two', 'offices', 'should', 'be', 'combined', 'to', 'achieve', 'greater', 'efficiency', 'and', 'reduce', 'the', 'cost', 'of', 'administration', ""''"", '.']","[('However', 'WR'), (',', ','), ('the', 'AT'), ('jury', 'NN'), ('said', 'VB'), ('it', 'PP'), ('believes', 'VB'), ('``', '``'), ('these', 'DT'), ('two', 'CD'), ('offices', 'NN'), ('should', 'MD'), ('be', 'BE'), ('combined', 'VB'), ('to', 'TO'), ('achieve', 'VB'), ('greater', 'JJ'), ('efficiency', 'NN'), ('and', 'CC'), ('reduce', 'VB'), ('the', 'AT'), ('cost', 'NN'), ('of', 'IN'), ('administration', 'NN'), (""''"", ""''""), ('.', '.')]"
"['The', 'City', 'Purchasing', 'Department', ',', 'the', 'jury', 'said', ',', '``', 'is', 'lacking', 'in', 'experienced', 'clerical', 'personnel', 'as', 'a', 'result', 'of', 'city', 'personnel', 'policies', ""''"", '.']","[('The', 'AT'), ('City', 'NN'), ('Purchasing', 'VB'), ('Department', 'NN'), (',', ','), ('the', 'AT'), ('jury', 'NN'), ('said', 'VB'), (',', ','), ('``', '``'), ('is', 'BE'), ('lacking', 'VB'), ('in', 'IN'), ('experienced', 'VB'), ('clerical', 'JJ'), ('personnel', 'NN'), ('as', 'CS'), ('a', 'AT'), ('result', 'NN'), ('of', 'IN'), ('city', 'NN'), ('personnel', 'NN'), ('policies', 'NN'), (""''"", ""''""), ('.', '.')]"
"['It', 'urged', 'that', 'the', 'city', '``', 'take', 'steps', 'to', 'remedy', ""''"", 'this', 'problem', '.']","[('It', 'PP'), ('urged', 'VB'), ('that', 'CS'), ('the', 'AT'), ('city', 'NN'), ('``', '``'), ('take', 'VB'), ('steps', 'NN'), ('to', 'TO'), ('remedy', 'VB'), (""''"", ""''""), ('this', 'DT'), ('problem', 'NN'), ('.', '.')]"
